Season,Episode_Number,Title
Pilot,0,The Terrible Secret of Turtle Bay
Season 1,1,Dia de Los Dangerous!
Season 1,2,Careers in Science
Season 1,3,Home Insecurity
Season 1,4,The Incredible Mr. Brisby
Season 1,5,"Eeney, Meeney, Miney... Magic!"
Season 1,6,Ghosts of the Sargasso
Season 1,7,Ice Station–Impossible!
Season 1,8,Mid-Life Chrysalis
Season 1,9,"Are You There, God? It’s Me, Dean"
Season 1,10,Tag Sale–You’re It!
Season 1,11,Past Tense
Season 1,12,The Trial of the Monarch
Season 1,13,Return to Spider-Skull Island
Season 2,1,Powerless in the Face of Death
Season 2,2,Hate Floats
Season 2,3,Assassinanny 911
Season 2,4,Escape to the House of Mummies Part II
Season 2,5,Twenty Years to Midnight
Season 2,6,Victor. Echo. November.
Season 2,7,Love-Bheits
Season 2,8,Fallen Arches
Season 2,9,Guess Who’s Coming to State Dinner?
Season 2,10,I Know Why the Caged Bird Kills
Season 2,11,¡Viva los Muertos!
Season 2,12,Showdown at Cremation Creek (Part I)
Season 2,13,Showdown at Cremation Creek (Part II)
Season 3,1,Shadowman 9: In the Cradle of Destiny
Season 3,2,The Doctor Is Sin
Season 3,3,The Invisible Hand of Fate
Season 3,4,Home Is Where the Hate Is
Season 3,5,The Buddy System
Season 3,6,"Dr. Quymn, Medicine Woman"
Season 3,7,"What Goes Down, Must Come Up"
Season 3,8,Tears of a Sea Cow
Season 3,9,Now Museum–Now You Don’t
Season 3,10,The Lepidopterists
Season 3,11,ORB
Season 3,12,"The Family That Slays Together, Stays Together (Part I)"
Season 3,13,"The Family That Slays Together, Stays Together (Part II)"
Season 4,1,"Blood of the Father, Heart of Steel"
Season 4,2,Handsome Ransom
Season 4,3,Perchance to Dean
Season 4,4,Return to Malice
Season 4,5,The Revenge Society
Season 4,6,Self-Medication
Season 4,7,The Better Man
Season 4,8,Pinstripes & Poltergeists
Season 4,9,The Diving Bell vs. The Butter-glider
Season 4,10,Pomp and Circuitry
Season 4,11,Any Which Way But Zeus
Season 4,12,Everybody Comes to Hank’s
Season 4,13,"Bright Lights, Dean City"
Season 4,14,Assisted Suicide
Season 4,15,The Silent Partners
Season 4,16,Operation P.R.O.M.
Season 5,1,What Color Is Your Cleansuit?
Season 5,2,Venture Libre
Season 5,3,SPHINX Rising
Season 5,4,Spanakopita!
Season 5,5,O.S.I. Love You
Season 5,6,Momma’s Boys
Season 5,7,Bot Seeks Bot
Season 5,8,The Devil’s Grip
Season 6,1,Hostile Makeover
Season 6,2,Maybe No Go
Season 6,3,Faking Miracles
Season 6,4,Rapacity in Blue
Season 6,5,Tanks for Nuthin’
Season 6,6,It Happening One Night
Season 6,7,A Party for Tarzan
Season 6,8,Red Means Stop
Season 7,1,The Venture Bros. & The Curse of the Haunted Problem
Season 7,2,The Rorqual Affair
Season 7,3,Arrears in Science
Season 7,4,The High Cost of Loathing
Season 7,5,The Inamorata Consequence
Season 7,6,The Bellicose Proxy
Season 7,7,The Unicorn in Captivity
Season 7,8,The Terminus Mandate
Season 7,9,The Forecast Manufacturer
Season 7,10,The Saphrax Protocol
